activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,classification
,3339157,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,COC1CCN(C(=O)c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cc2)CC1,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1163567,,CHEMBL1163567,,False,http://qudt.org/vocab/unit#Percent,918806,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,3340461,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCC(N2CCCC2)CC1,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1163559,,CHEMBL1163559,,False,http://qudt.org/vocab/unit#Percent,918807,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,3341793,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1163566,,CHEMBL1163566,,False,http://qudt.org/vocab/unit#Percent,918808,=,1,True,=,,Inhibition,%,,70.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,70.0,1
,3343240,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1163565,,CHEMBL1163565,,False,http://qudt.org/vocab/unit#Percent,918809,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,3358652,[],CHEMBL1174894,Inhibition of MAP4K3 at 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1,,,CHEMBL1177794,Bioorg. Med. Chem. Lett.,2010.0,,CHEMBL1171523,,CHEMBL1171523,,False,http://qudt.org/vocab/unit#Percent,921401,=,1,True,=,,Inhibition,%,,2.6,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,2.6,0
,3359094,[],CHEMBL1174894,Inhibition of MAP4K3 at 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1,,,CHEMBL1177794,Bioorg. Med. Chem. Lett.,2010.0,,CHEMBL1170139,,CHEMBL1170139,,False,http://qudt.org/vocab/unit#Percent,921546,=,1,True,=,,Inhibition,%,,1.8,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,1.8,0
,3407756,[],CHEMBL1219792,Inhibition of MAP4K3 at 1 uM by radiometric method,B,,,BAO_0000201,BAO_0000357,single protein format,CCOC(=O)CCc1c(/C=C2\C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2,,,CHEMBL1212904,J. Med. Chem.,2010.0,,CHEMBL1215218,,CHEMBL1215218,,False,http://qudt.org/vocab/unit#Percent,932917,<,1,True,<,,Inhibition,%,,10.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,10.0,0
,3407757,[],CHEMBL1219792,Inhibition of MAP4K3 at 1 uM by radiometric method,B,,,BAO_0000201,BAO_0000357,single protein format,CN(C)CCCc1c(/C=C2\C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2,,,CHEMBL1212904,J. Med. Chem.,2010.0,,CHEMBL1215346,,CHEMBL1215346,,False,http://qudt.org/vocab/unit#Percent,933062,<,1,True,<,,Inhibition,%,,10.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,10.0,0
,3463280,[],CHEMBL1252483,Inhibition of MAPK3 at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control,B,,,BAO_0000201,BAO_0000357,single protein format,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,,,CHEMBL1250448,Nat. Chem. Biol.,2009.0,,CHEMBL379300,A-443654,CHEMBL379300,,False,http://qudt.org/vocab/unit#Percent,956180,=,1,True,=,,Inhibition,%,,43.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,43.0,0
,3463824,[],CHEMBL1252483,Inhibition of MAPK3 at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccccc1N1CCN(c2ncnc3[nH]nc(Br)c23)CC1,,,CHEMBL1250448,Nat. Chem. Biol.,2009.0,,CHEMBL1254209,,CHEMBL1254209,,False,http://qudt.org/vocab/unit#Percent,956402,=,1,True,=,,Inhibition,%,,14.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,14.0,0
,3464043,[],CHEMBL1252483,Inhibition of MAPK3 at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,,,CHEMBL1250448,Nat. Chem. Biol.,2009.0,,CHEMBL577784,BX-795,CHEMBL577784,,False,http://qudt.org/vocab/unit#Percent,956403,=,1,True,=,,Inhibition,%,,47.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,47.0,0
,5123809,[],CHEMBL1645753,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CCN1C(=O)CCC(C)(C)c2ccc(Nc3ncc(Cl)c(Nc4c(F)cccc4C(=O)NC)n3)cc21,,,CHEMBL1641548,Bioorg. Med. Chem. Lett.,2011.0,,CHEMBL1644812,,CHEMBL1644812,,False,http://qudt.org/vocab/unit#Percent,1320751,=,1,True,=,,Inhibition,%,,91.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,91.0,1
,6339945,[],CHEMBL1826628,Activity of MAP4K3 kinase at 1 uM,B,,,BAO_0001103,BAO_0000357,single protein format,CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1,,,CHEMBL1821651,J. Med. Chem.,2011.0,,CHEMBL1822054,,CHEMBL1822054,,False,http://qudt.org/vocab/unit#Percent,1452528,=,1,False,=,,Activity,%,,78.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,Activity,%,UO_0000187,,78.0,0
,6385713,[],CHEMBL1838172,Inhibition of human KHS2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control,B,,,BAO_0000201,BAO_0000219,cell-based format,Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,,,CHEMBL1833925,Bioorg. Med. Chem. Lett.,2011.0,,CHEMBL1834114,,CHEMBL1834114,,False,http://qudt.org/vocab/unit#Percent,1460091,<,1,True,<,,Inhibition,%,,35.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,35.0,0
,6385714,[],CHEMBL1838172,Inhibition of human KHS2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control,B,,,BAO_0000201,BAO_0000219,cell-based format,Nc1c(F)c(NCCNc2ccccn2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CCCC1,,,CHEMBL1833925,Bioorg. Med. Chem. Lett.,2011.0,,CHEMBL1834318,,CHEMBL1834318,,False,http://qudt.org/vocab/unit#Percent,1460321,<,1,True,<,,Inhibition,%,,35.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,35.0,0
,6385715,[],CHEMBL1838172,Inhibition of human KHS2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control,B,,,BAO_0000201,BAO_0000219,cell-based format,C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,,,CHEMBL1833925,Bioorg. Med. Chem. Lett.,2011.0,,CHEMBL1834323,,CHEMBL1834323,,False,http://qudt.org/vocab/unit#Percent,1460326,<,1,True,<,,Inhibition,%,,35.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,35.0,0
,6385716,[],CHEMBL1838172,Inhibition of human KHS2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control,B,,,BAO_0000201,BAO_0000219,cell-based format,CC(C)[C@@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,,,CHEMBL1833925,Bioorg. Med. Chem. Lett.,2011.0,,CHEMBL1834324,,CHEMBL1834324,,False,http://qudt.org/vocab/unit#Percent,1460327,<,1,True,<,,Inhibition,%,,35.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,35.0,0
,6385717,[],CHEMBL1838172,Inhibition of human KHS2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control,B,,,BAO_0000201,BAO_0000219,cell-based format,Nc1c(F)c(NCCNc2ccccn2)c2c3c1c(=O)c(C(=O)O)cn3C1(CCCC1)CO2,,,CHEMBL1833925,Bioorg. Med. Chem. Lett.,2011.0,,CHEMBL1834330,,CHEMBL1834330,,False,http://qudt.org/vocab/unit#Percent,1460333,<,1,True,<,,Inhibition,%,,35.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,35.0,0
,7996707,[],CHEMBL1944038,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CNC(=O)c1cccc(F)c1Nc1nc(Nc2ccc3c(c2)NC(=O)[C@H](NC(=O)N2CCCC2)CC3(C)C)ncc1Cl,,,CHEMBL1938300,Bioorg. Med. Chem.,2011.0,,CHEMBL1939491,,CHEMBL1939491,,False,http://qudt.org/vocab/unit#Percent,1571363,=,1,True,=,,Inhibition,%,,98.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,98.0,1
,11020086,[],CHEMBL2091834,Inhibition of MAP4K3,B,,,BAO_0000190,BAO_0000357,single protein format,CCN1CCC(Nc2ccc3c(c2)C(=C(c2ccc(Cl)cc2)c2ncc[nH]2)C(=O)N3)CC1,,,CHEMBL2086224,Bioorg. Med. Chem. Lett.,2012.0,"{'bei': '16.97', 'le': '0.32', 'lle': '2.73', 'sei': '10.41'}",CHEMBL2086760,,CHEMBL2086760,7.6,False,http://www.openphacts.org/units/Nanomolar,1673570,=,1,True,=,,IC50,nM,,25.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,IC50,nM,UO_0000065,,25.0,1
,12172365,[],CHEMBL2210630,Inhibition of MAP4K3 assessed as residual activity at 10 uM relative to control,B,,,BAO_0001103,BAO_0000357,single protein format,O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,,,CHEMBL2203081,Bioorg. Med. Chem. Lett.,2012.0,,CHEMBL2204495,,CHEMBL2204495,,False,http://qudt.org/vocab/unit#Percent,1757300,=,1,False,=,,Activity,%,,60.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,Activity,%,UO_0000187,,60.0,1
,12183857,[],CHEMBL2211531,Inhibition of MAP4K3,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,,,CHEMBL2203257,Bioorg. Med. Chem. Lett.,2012.0,,CHEMBL2205766,,CHEMBL2205766,,False,http://www.openphacts.org/units/Nanomolar,1759115,<,1,True,>,,IC50,nM,,10000.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,pIC50,,UO_0000065,,5.0,0
,13439824,[],CHEMBL2426969,Competitive binding affinity to MAP4K3 (unknown origin) at 10 uM in presence of ATP relative to control,B,,,BAO_0000201,BAO_0000357,single protein format,O[C@H]1CC[C@H](Nc2nccc(-n3ccc4ccccc43)n2)CC1,,,CHEMBL2424622,Bioorg. Med. Chem. Lett.,2013.0,,CHEMBL2425646,,CHEMBL2425646,,False,http://qudt.org/vocab/unit#Percent,1918688,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,13442631,[],CHEMBL2426969,Competitive binding affinity to MAP4K3 (unknown origin) at 10 uM in presence of ATP relative to control,B,,,BAO_0000201,BAO_0000357,single protein format,O[C@H]1CC[C@H](Nc2nccc(-c3n[nH]c4ccccc34)n2)CC1,,,CHEMBL2424622,Bioorg. Med. Chem. Lett.,2013.0,,CHEMBL2425644,,CHEMBL2425644,,False,http://qudt.org/vocab/unit#Percent,1918686,=,1,True,=,,Inhibition,%,,97.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,97.0,1
,13445657,[],CHEMBL2426969,Competitive binding affinity to MAP4K3 (unknown origin) at 10 uM in presence of ATP relative to control,B,,,BAO_0000201,BAO_0000357,single protein format,O[C@H]1CC[C@H](Nc2nccc(-n3ncc4ccccc43)n2)CC1,,,CHEMBL2424622,Bioorg. Med. Chem. Lett.,2013.0,,CHEMBL2425645,,CHEMBL2425645,,False,http://qudt.org/vocab/unit#Percent,1918687,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,13451644,[],CHEMBL2426969,Competitive binding affinity to MAP4K3 (unknown origin) at 10 uM in presence of ATP relative to control,B,,,BAO_0000201,BAO_0000357,single protein format,O[C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1,,,CHEMBL2424622,Bioorg. Med. Chem. Lett.,2013.0,,CHEMBL2425654,,CHEMBL2425654,,False,http://qudt.org/vocab/unit#Percent,1918696,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,15072402,[],CHEMBL3388088,Inhibition of MAP4K3 (unknown origin) assessed as remaining enzyme activity at 10 uM by radioactive [33P]-ATP filter binding assay,B,,,BAO_0001103,BAO_0000357,single protein format,Cc1ccc(-c2cc(C(=O)Nc3ccnc(Cl)c3)nn2-c2ccc3ccccc3n2)cc1,,,CHEMBL3351385,Eur. J. Med. Chem.,2014.0,,CHEMBL3338802,,CHEMBL3338802,,False,http://qudt.org/vocab/unit#Percent,2274894,=,1,False,=,,Activity,%,,90.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,Activity,%,UO_0000187,,90.0,0
,15756975,[],CHEMBL3630508,Inhibition of GLK (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay,B,,,BAO_0000201,BAO_0000357,single protein format,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1,,,CHEMBL3627608,Bioorg. Med. Chem.,2015.0,,CHEMBL166031,,CHEMBL166031,,False,http://qudt.org/vocab/unit#Percent,2507618,=,1,True,=,,Inhibition,%,,41.94,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,41.94,0
,15757748,[],CHEMBL3630508,Inhibition of GLK (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay,B,,,BAO_0000201,BAO_0000357,single protein format,CS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N4CCOCC4)nc3-c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3)n2)c1,,,CHEMBL3627608,Bioorg. Med. Chem.,2015.0,,CHEMBL3628627,,CHEMBL3628627,,False,http://qudt.org/vocab/unit#Percent,2507619,=,1,True,=,,Inhibition,%,,56.2,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,56.2,0
,15758727,[],CHEMBL3630508,Inhibition of GLK (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay,B,,,BAO_0000201,BAO_0000357,single protein format,COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC,,,CHEMBL3627608,Bioorg. Med. Chem.,2015.0,,CHEMBL3628628,,CHEMBL3628628,,False,http://qudt.org/vocab/unit#Percent,2507620,=,1,True,=,,Inhibition,%,,4.53,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,4.53,0
,16431844,[],CHEMBL3748198,Inhibition of human GLK using MBP as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,,,CHEMBL3745707,Bioorg. Med. Chem.,2016.0,,CHEMBL3745885,,CHEMBL3745885,,False,http://www.openphacts.org/units/Nanomolar,2741358,>,1,True,>,,IC50,nM,,10000.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,IC50,uM,UO_0000065,,10.0,0
,18114271,[],CHEMBL4025223,Inhibition of wild-type human partial length MAP4K3 (M1 to D301 residues) expressed in bacterial expression system assessed as residual activity at 1 uM by Kinomescan method relative to control,B,,,BAO_0001103,BAO_0000019,assay format,C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1,,,CHEMBL4024706,Eur J Med Chem,2017.0,,CHEMBL4077123,,CHEMBL4077123,,False,http://qudt.org/vocab/unit#Percent,3003997,=,1,False,=,,Activity,%,,95.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,Activity,%,UO_0000187,,95.0,0
,18153088,[],CHEMBL4034356,Inhibition of KHS2 Lysine 1 labelling site (unknown origin) at 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,c1cc(-c2c[nH]c3cnccc23)ccn1,,,CHEMBL4033637,Bioorg Med Chem Lett,2017.0,,CHEMBL4084955,,CHEMBL4084955,,False,http://qudt.org/vocab/unit#Percent,3011476,=,1,True,=,,Inhibition,%,,-0.8,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,-0.8,0
,18203747,[],CHEMBL4044034,Inhibition of wild-type human partial length MAP4K3 (M1 to D301 residues) expressed in Escherichia coli BL21 assessed as residual activity at 1000 nM after 30 mins by Kinomescan method relative to control,B,,,BAO_0001103,BAO_0000019,assay format,COc1cc(OC)c(Cl)c(N2Cc3cnc(Nc4ccc(F)cc4)nc3N(C3CCN(C(=O)/C=C/CN(C)C)CC3)C2=O)c1Cl,,,CHEMBL4043093,Eur J Med Chem,2017.0,,CHEMBL4092508,,CHEMBL4092508,,False,http://qudt.org/vocab/unit#Percent,3020066,=,1,False,=,,Activity,%,,88.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,Activity,%,UO_0000187,,88.0,0
