rank,fingerprint
2,>= 2 saturated or aromatic carbon-only ring size 6 
2,>= 2 saturated or aromatic nitrogen-containing ring size 6 
2,C(:N)(:N) 
2,O=C-C-C-C-C-C-C 
2,O-C-C-C-C-C(N)-C 
2,O-C-C-C-C-C-N-C 
2,C(:C)(:N)(:N) 
2,>= 3 saturated or aromatic carbon-only ring size 6 
2,C(:C)(:C)(:N) 
2,O-C-C-C-C-C(C)-C 
2,>= 4 any ring size 6 
2,C(~S)(:C) 
2,N-C-N-C-C 
2,>= 4 saturated or aromatic heteroatom-containing ring size 6 
2,O-C-C-C-C-C-C-C 
2,O-C-C-C:C 
2,C(~O)(~O) 
2,>= 5 any ring size 6 
2,O=C-C-C-C-C-N 
2,C(~N)(:N) 
2,O=C-C-C-C-C-O 
2,C-C-N-C-C 
2,Cc1c(S)cccc1 
2,Cc1c(O)cccc1 
2,Cc1c(Cl)cccc1 
2,N-C:C:N 
2,O-C=C-C 
2,N-N 
2,N:N-C-[#1] 
2,>= 2 Cl 
2,N-H 
2,O=C-C:C 
2,O-C-C=C-C 
2,C-N:C-[#1] 
2,>= 2 Br 
2,O=C-C-C:C 
2,N-C-S-C 
2,N=C-N-C-C 
2,N-C=N-C 
2,O-C:C-C 
2,N-C:N:C 
2,O-C:C-[#1] 
2,O-C:C-N 
2,SC1C(N)CCCC1 
2,S-C=N-[#1] 
2,Cc1c(N)cccc1 
2,CC1C(Br)CCCC1 
2,CC1C(Cl)CCCC1 
2,N-O 
2,CC1C(S)CCCC1 
2,Cl-C:C-C 
2,O=C-C-O 
2,>= 16 H 
2,>= 32 H 
2,Cl-C-C-N-C 
2,C-N-N-[#1] 
2,C=C-C:C 
2,N-C-C-N-C 
2,N-C-O-C-C 
2,N-N-C-C 
2,>= 16 C 
2,>= 32 C 
2,O-N-C-C 
2,>= 4 N 
2,>= 8 N 
2,N-C-C-O-C 
2,>= 2 O 
2,S=C-N-[#1] 
2,S-C:C-[#1] 
2,C:C:N:N:C 
2,>= 2 F 
2,>= 4 F 
2,S-C:C-O 
2,O=C-C-C 
2,C-C-C-O-[#1] 
2,Cl-C:C:C-C 
2,CC1C(O)CCCC1 
2,N-N-C:C 
2,NC1CCC(Cl)CC1 
2,N(-C)(=O) 
2,N(-C)(=C) 
2,C(-O)(=O) 
2,C(-N)(=O) 
2,ClC1CCC(Cl)CC1 
2,C(-N)(=N) 
2,N-C:C-[#1] 
2,NC1CCC(N)CC1 
2,SC1CCC(N)CC1 
2,OC1CCC(Cl)CC1 
2,C(~C)(~Cl) 
2,C=C-C-C-C 
2,C-N-C-N-C 
2,C(-H)(=N) 
2,N-C-N-C 
2,N:C-O-[#1] 
2,O-C-C-C-O 
2,CC1CCC(N)CC1 
2,CC1CCC(S)CC1 
2,CC1CCC(O)CC1 
2,O=N-C:C 
2,C-C-C:C-C 
2,Sc1c(N)cccc1 
2,C:C-C:C 
2,C(~C)(~C)(~C)(~H) 
2,C(~C)(~C)(~C) 
2,C:C-C=C 
2,NC1CC(Br)CCC1 
2,Cc1c(Br)cccc1 
2,C(-C)(-C)(=N) 
2,[#1]-C-C-N-[#1] 
2,C-C:C-O-[#1] 
2,C(-C)(-H)(=N) 
2,Cl-C-C-C 
2,C(~C)(~C)(~H)(~O) 
2,Cl-C-C-C-C 
2,C(~C)(~C)(~C)(~O) 
2,C(~C)(~C)(~H)(~N) 
2,O-C-C=O 
2,OC1CC(Cl)CCC1 
2,O-C-C-C=C 
2,O-C-C=N 
2,C-C-C#C 
2,C(-C)(-N)(=C) 
2,C(~C)(~C)(~C)(~N) 
3,C-C:C:C-C 
3,C(~C)(:N) 
3,C-O-C-C:C 
3,N-C:C:C-N 
3,N-C:C:C-C 
3,N-C-C-C-N 
3,[#1]-C-C=C-[#1] 
3,C(~Br)(:N) 
3,C(~Br)(:C) 
3,C-O-C-C=C 
3,C(~C)(~S) 
3,C(~C)(~C)(~C)(~C) 
3,C(~Br)(~C)(~C) 
3,C(~C)(~H)(~S) 
3,C(~Br)(~C) 
3,C-S-C-C-C 
3,C(~C)(:C) 
3,C(~C)(~N) 
3,C(~C)(~C)(~N) 
3,C(~C)(:C)(:C) 
3,C(~C)(~Cl)(~H) 
3,C:C-C-C-C 
3,C-C:C-N-C 
3,C(-C)(-O)(=O) 
3,C:C-C=C-C 
3,C-N-C-[#1] 
3,N-S-C:C 
3,C:S:C-C 
3,O-C:C-O 
3,N-C:C-C 
3,S-C=N-C 
3,N-C=N-[#1]
3,S:C:C:N 
3,S:C:C:C 
3,N-C-C:C 
3,N#C-C=C 
3,O=S-C-C 
3,N-C-C=C 
3,Cl-C-C-O 
3,N-C:C-N 
3,S(=O)(=O) 
3,N=C-C-[#1] 
3,C-N-C:C 
3,C-C=C-C 
3,N:C:C-C 
3,N=C-N-C 
3,O=C-N-N 
3,N-N-C-N 
3,[#1]-C=C-[#1] 
3,N-C:O:C 
3,N:C-C:C 
3,Br-C:C-C 
3,S-C:C-N 
3,Cl-C:C-O 
3,N-C=C-[#1] 
3,C-S-C:C 
3,N=C-C-C
3,S-C:C-C 
3,C(~Cl)(~H) 
3,O=C-C=C 
3,C(-N)(=C) 
3,C-C:C-C:C 
3,N(~H)(:C) 
3,N(~H)(~N) 
3,N(~C)(~H) 
3,C(:C)(:N) 
3,C(:C)(:C)(:C) 
3,N:C:N:C 
3,C(:C)(:C) 
3,C(~O)(:C) 
3,C(~N)(:C)(:N) 
3,C(~N)(:C) 
3,O=C-C-C-O 
3,C-C-C-C-C 
3,Cl-C:C-O-C 
3,O=C-C-C-C 
3,Br-C-C-C 
3,S(~C)(~O) 
3,C=N 
3,C(-H)(=O)
3,C(-H)(=C) 
3,C(-C)(=N) 
3,O-C-N-[#1] 
3,C(-C)(-N)(=O) 
3,C(-C)(-H)(=O) 
3,N-C-C-N 
3,C(-C)(-H)(=C) 
3,C(#N)(-C) 
3,O-C-C-O 
3,N#C-C-C 
3,C=S 
3,C=O 
3,C#N 
3,Br-C-C=O 
3,O=C-C-O-C 
3,O-C:C:C-C 
3,C-C-C-C:C 
3,Oc1c(O)cccc1 
3,>= 1 any ring size 3 
3,>= 1 saturated or aromatic carbon-only ring size 3 
3,>= 2 any ring size 3 
3,>= 2 saturated or aromatic carbon-only ring size 3 
3,Cc1c(C)cccc1 
3,Brc1cc(Br)ccc1 
3,Clc1cc(Cl)ccc1 
3,Nc1cc(Cl)ccc1 
3,Nc1cc(N)ccc1 
3,>= 1 saturated or aromatic nitrogen-containing ring size 4 
3,O-C:C-C-C 
3,Sc1cc(N)ccc1 
3,>= 2 any ring size 4 
3,Oc1cc(O)ccc1 
3,Cc1cc(Br)ccc1 
3,Cc1cc(Cl)ccc1 
3,Cc1ccc(C)cc1 
3,Cc1ccc(Cl)cc1 
3,Cc1ccc(Br)cc1 
3,Oc1ccc(O)cc1 
3,Oc1ccc(S)cc1 
3,Oc1ccc(N)cc1 
3,Oc1c(N)cccc1 
3,Nc1ccc(N)cc1 
3,>= 3 saturated or aromatic nitrogen-containing ring size 5 
3,Cc1cc(S)ccc1 
3,>= 1 unsaturated non-aromatic heteroatom-containing ring size 5 
3,>= 1 unsaturated non-aromatic nitrogen-containing ring size 5 
3,>= 1 unsaturated non-aromatic carbon-only ring size 5 
3,>= 1 saturated or aromatic carbon-only ring size 5 
3,>= 3 saturated or aromatic heteroatom-containing ring size 5 
3,Oc1c(Br)cccc1 
3,Nc1c(N)cccc1 
3,Nc1c(Cl)cccc1 
3,OC1C(N)CCCC1 
3,OC1C(Br)CCCC1 
3,NC1C(Cl)CCCC1 
3,CC1CC(C)CC1 
3,>= 1 Br 
3,CC1CC(N)CC1 
3,OC1C(O)CCCC1 
3,>= 1 Cl 
3,CC1C(C)CCC1 
3,>= 4 O 
3,>= 1 O 
3,>= 2 N 
3,>= 1 N 
3,CC1C(N)CCC1 
3,>= 1 F 
3,>= 2 saturated or aromatic heteroatom-containing ring size 6 
3,CC1C(N)CCCC1 
3,BrC1CC(Br)CCC1 
3,CC1CCC(C)CC1 
3,CC1CCC(Cl)CC1 
3,CC1CCC(Br)CC1 
3,OC1CCC(O)CC1 
3,OC1CCC(S)CC1 
3,OC1CCC(N)CC1 
3,CC1C(C)CCCC1 
3,CC1CC(S)CCC1 
3,CC1CC(Br)CCC1 
3,OC1CC(O)CCC1 
3,SC1CC(N)CCC1 
3,NC1CC(N)CCC1 
3,NC1CC(Cl)CCC1 
3,ClC1CC(Cl)CCC1 
3,CC1CC(Cl)CCC1 
3,>= 3 any ring size 6 
3,>= 1 saturated or aromatic heteroatom-containing ring size 4 
3,>= 3 saturated or aromatic heteroatom-containing ring size 6 
3,O-C-C-O-[#1] 
3,O-C-C-N-C 
3,C-C-S-C-C 
3,C-N-C:C-C 
3,O-C:C:C-O 
3,>= 1 aromatic ring 
3,>= 1 hetero-aromatic ring 
3,>= 2 aromatic rings 
3,>= 3 aromatic rings 
3,>= 4 hetero-aromatic rings 
3,O=C-N-C=O 
3,O=C-N-C-C 
3,O-C-C-C=O 
3,O-C-C-C-N 
3,O-C-C-C-C 
3,>= 3 saturated or aromatic nitrogen-containing ring size 6 
3,N-C-C:C-C 
3,N-S 
3,C:C-C-C:C 
3,C-Br 
3,C:C-O-C-C 
3,C-Cl 
3,O=C-C:C-O 
3,C-C=C-C=C 
3,C-N-C-C:C 
3,C-O 
3,C-N 
3,S-C:C:C-N 
3,O-C:C-O-C 
3,O-C:C-O-[#1] 
3,C-C-O-C:C 
3,C-F 
3,N-C:C-C-C 
3,N-N-C-N-[#1] 
3,C=C-C-O-[#1] 
3,O-C-C-C-C-C(O)-C 
3,O-C-C-C-C-C-O-C 
3,>= 4 saturated or aromatic carbon-only ring size 6 
3,>= 4 saturated or aromatic nitrogen-containing ring size 6 
3,C=C-C-O-C 
3,O-C-C-C-C-C-N 
3,O-C-C-C-C-C-O 
3,>= 1 saturated or aromatic carbon-only ring size 7 
3,O-C-C-C-C-C-C 
3,O=C-C-C-C=O 
3,O-C-C-C-C-N 
3,C-C=C-C:C 
3,N#C-C-C-C 
3,C-C-C-C-C-C-C-C 
3,C:C:N-[#1] 
3,O=C-C=C-[#1] 
3,Br-C:C:C-C 
4,ClC1C(Br)CCCC1 
4,OC1CC(Br)CC1 
4,OC1CC(Cl)CC1 
4,OC1CC(N)CC1 
4,OC1CC(S)CC1 
4,OC1CC(O)CC1 
4,Oc1cc(Br)ccc1 
4,CC1CC(Br)CC1 
4,ClC1C(Cl)CCCC1 
4,CC1CC(Cl)CC1 
4,SC1CC(S)CC1 
4,CC1CC(S)CC1 
4,NC1C(Br)CCCC1 
4,O=C-O-C:C 
4,CC1CC(O)CC1 
4,O=C-C:C-C 
4,BrC1C(Br)CCCC1 
4,C:C-O-C 
4,SC1CC(N)CC1 
4,SC1CC(Cl)CC1 
4,NC1CC(N)CC1 
4,ClC1C(Cl)CCC1 
4,NC1C(Br)CCC1 
4,NC1C(Cl)CC1 
4,Cl-C-C-Cl 
4,OC1C(O)CCC1 
4,CC1C(Br)CCC1 
4,CC1C(Cl)CCC1 
4,C-O-C-O-C 
4,CC1C(S)CCC1 
4,CC1C(O)CCC1 
4,O=C-C-N-C 
4,C-N-C-C-C 
4,C-C-O-C-C 
4,Cl-C:C-C=O 
4,O=C-C-C-C-C(O)-C 
4,BrC1CC(Br)CC1 
4,C-C(C)-C-C-C 
4,ClC1CC(Br)CC1 
4,ClC1CC(Cl)CC1 
4,O=C-C:C-N 
4,NC1C(N)CCCC1 
4,O-C-C=C 
4,SC1C(Cl)CCCC1 
4,Cc1cc(O)ccc1 
4,CC1CC(N)CCC1 
4,N=C-C=C 
4,O-C-O-C 
4,CC1CC(O)CCC1 
4,CC1CC(C)CCC1 
4,BrC1CCC(Br)CC1 
4,NC1CCC(Br)CC1 
4,N-C-C-C-C 
4,C:C-C-C 
4,C-C=N-N-C 
4,C=C-C-C 
4,C-C:C-O-C 
4,Br-C-C-C:C 
4,Brc1c(Br)cccc1 
4,Clc1c(Cl)cccc1 
4,Nc1c(Br)cccc1 
4,Cc1cc(N)ccc1 
4,N-C-C-C-C-C 
4,Oc1c(Cl)cccc1 
4,Cc1cc(C)ccc1 
4,OC1CC(N)CCC1 
4,SC1C(S)CCCC1 
4,O-C-C-O-C 
4,OC1C(Cl)CCCC1 
4,C-O-C:C-C 
4,OC1C(S)CCCC1 
4,C-C-C-C-C-C(C)-C 
4,O-C-O-C-C 
4,O=C-C-C-C-C=O 
4,OC1CC(S)CCC1 
4,ClC1CC(Br)CCC1 
4,O-C-C:C 
4,Oc1cc(S)ccc1 
4,Nc1ccc(Br)cc1
4,SC1CC(Br)CCC1 
4,SC1CC(Cl)CCC1 
4,Brc1ccc(Br)cc1 
4,SC1CC(S)CCC1 
4,OC1CC(Br)CCC1 
4,Oc1cc(N)ccc1 
4,SC1C(Br)CCCC1 
4,>= 4 H 
4,>= 3 unsaturated non-aromatic carbon-only ring size 5 
4,C-C 
4,>= 3 unsaturated non-aromatic nitrogen-containing ring size 5 
4,>= 1 unsaturated non-aromatic heteroatom-containing ring size 3 
4,>= 2 saturated or aromatic nitrogen-containing ring size 3 
4,>= 2 saturated or aromatic heteroatom-containing ring size 3 
4,>= 2 unsaturated non-aromatic carbon-only ring size 3 
4,C-S 
4,>= 2 unsaturated non-aromatic nitrogen-containing ring size 3 
4,>= 2 unsaturated non-aromatic heteroatom-containing ring size 3 
4,C-I 
4,>= 1 saturated or aromatic carbon-only ring size 4 
4,Cl-C:C-Cl 
4,>= 1 unsaturated non-aromatic heteroatom-containing ring size 6 
4,>= 1 unsaturated non-aromatic nitrogen-containing ring size 6 
4,C-H 
4,>= 1 unsaturated non-aromatic carbon-only ring size 6 
4,>= 1 any ring size 6 
4,>= 1 unsaturated non-aromatic carbon-only ring size 4
4,>= 1 I 
4,>= 4 Br 
4,>= 2 K 
4,>= 1 K 
4,>= 8 Cl 
4,>= 4 Cl 
4,>= 8 S 
4,>= 4 S 
4,>= 2 S 
4,>= 1 Pb 
4,>= 4 P 
4,>= 2 P 
4,O-H 
4,>= 1 P 
4,>= 1 unsaturated non-aromatic nitrogen-containing ring size 3 
4,>= 1 saturated or aromatic heteroatom-containing ring size 3 
4,>= 1 Tl 
4,>= 1 Hg 
4,>= 1 La 
4,>= 1 Ce 
4,>= 1 Au 
4,>= 1 Pr 
4,>= 1 Nd 
4,>= 1 Pt 
4,>= 1 Ir 
4,>= 1 Os 
4,>= 1 Re 
4,>= 1 Pm 
4,>= 1 W 
4,>= 1 Ta 
4,>= 1 unsaturated non-aromatic carbon-only ring size 3 
4,>= 1 Hf 
4,>= 1 Ba 
4,>= 1 Sm 
4,>= 1 Eu 
4,>= 1 Gd 
4,>= 1 Tb 
4,>= 1 Dy 
4,>= 1 Ho 
4,>= 1 Er 
4,>= 1 Tm 
4,>= 1 Yb 
4,>= 1 Tc 
4,>= 1 U
4,>= 1 Rb 
4,>= 1 saturated or aromatic nitrogen-containing ring size 3 
4,>= 1 Lu 
4,>= 2 Si 
4,>= 1 S 
4,C(~C)(~C) 
4,>= 2 unsaturated non-aromatic heteroatom-containing ring size 4 
4,C(-C)(=O) 
4,>= 2 any ring size 5 
4,C(-H)(-N)(=C) 
4,N(-O)(=O) 
4,>= 2 saturated or aromatic carbon-only ring size 5 
4,S(-C)(=O) 
4,>= 2 unsaturated non-aromatic carbon-only ring size 5 
4,>= 2 unsaturated non-aromatic nitrogen-containing ring size 5 
4,C=N-N-C 
4,>= 2 unsaturated non-aromatic heteroatom-containing ring size 5 
4,C:N:C-C 
4,S-C:N:C 
4,C-O-C=C 
4,>= 2 unsaturated non-aromatic nitrogen-containing ring size 4 
4,>= 3 saturated or aromatic carbon-only ring size 5 
4,C:N-C:C 
4,N:C:C:N 
4,N-C:N:N 
4,C-C-C=C 
4,O-C:C:N 
4,Cl-C:C-[#1] 
4,N:C:N-C 
4,C-C:N:C 
4,C-C-S-C 
4,S=C-N-C 
4,>= 1 Li 
4,>= 8 H 
4,S:C:C-[#1] 
4,C:N-C-[#1] 
4,O-S-C:C 
4,>= 2 unsaturated non-aromatic carbon-only ring size 4 
4,C(-C)(=C) 
4,C(#C)(-H) 
4,N(~O)(~O) 
4,C(~O)(:C)(:C) 
4,C(~N)(~N) 
4,>= 2 Na 
4,C(~H)(~O)(~O) 
4,C(~H)(~O) 
4,C(~H)(~N) 
4,>= 1 unsaturated non-aromatic heteroatom-containing ring size 4 
4,>= 1 unsaturated non-aromatic nitrogen-containing ring size 4 
4,C(~C)(~O) 
4,C(~C)(~I) 
4,>= 1 Si 
4,C(~C)(~H)(~N) 
4,C(~C)(~H) 
4,C(~C)(~C)(~O) 
4,N(~O)(:O) 
4,C(-C)(-C)(=O) 
4,>= 1 Na 
4,>= 4 C 
4,>= 2 saturated or aromatic heteroatom-containing ring size 4 
4,>= 2 saturated or aromatic nitrogen-containing ring size 4 
4,>= 2 saturated or aromatic carbon-only ring size 4 
4,N=N 
4,C=C 
4,>= 2 C 
4,>= 16 O 
4,>= 1 Bi 
4,>= 8 C 
4,>= 8 O 
4,S(~C)(~C) 
5,Sc1c(S)cccc1 
5,Sc1c(Cl)cccc1 
5,Sc1cc(Cl)ccc1 
5,Sc1cc(Br)ccc1 
5,Oc1c(S)cccc1 
5,Sc1c(Br)cccc1 
5,Clc1cc(Br)ccc1 
5,Sc1cc(S)ccc1 
5,Clc1ccc(Br)cc1 
5,Clc1c(Br)cccc1 
5,[As]-C:C-[#1] 
5,SC1CCC(S)CC1 
5,>= 1 V 
5,>= 1 Ti 
5,>= 1 Sc 
5,>= 1 Ca 
5,>= 1 Al 
5,>= 1 Mg 
5,>= 1 Be 
5,>= 4 I 
5,>= 2 I 
5,SC1CC(Br)CC1 
5,NC1CC(Cl)CC1 
5,NC1CC(Br)CC1 
5,>= 4 B 
5,>= 2 B 
5,>= 1 B 
5,OC1C(S)CCC1 
5,OC1C(N)CCC1 
5,OC1C(Cl)CCC1 
5,OC1C(Br)CCC1 
5,SC1C(S)CCC1 
5,SC1C(N)CCC1 
5,SC1C(Cl)CCC1 
5,SC1C(Br)CCC1 
5,NC1C(N)CCC1 
5,>= 2 Li 
5,>= 1 Cr 
5,>= 1 Mn 
5,>= 1 Fe 
5,>= 1 Co 
5,SC1CCC(Cl)CC1 
5,SC1CCC(Br)CC1 
5,ClC1CCC(Br)CC1 
5,>= 1 Cs 
5,>= 1 Xe 
5,>= 1 Te 
5,>= 1 Sb 
5,>= 1 Sn 
5,>= 1 In 
5,>= 1 Cd 
5,>= 1 Ag 
5,>= 1 Pd 
5,OC1CCC(Br)CC1 
5,>= 1 Rh 
5,>= 1 Mo 
5,>= 1 Nb 
5,>= 1 Zr 
5,>= 1 Y 
5,>= 1 Sr 
5,>= 1 Kr 
5,>= 1 Se 
5,>= 1 As 
5,>= 1 Ge 
5,>= 1 Zn 
5,>= 1 Cu 
5,>= 1 Ni 
5,>= 1 Ru 
5,>= 1 Ga 
5,>= 2 unsaturated non-aromatic carbon-only ring size 6 
5,Sc1ccc(Cl)cc1 
5,C-P 
5,C-As 
5,C-Se 
5,N-F 
5,N-Si 
5,N-P 
5,C-Si 
5,N-Cl 
5,O-O 
5,O-Mg 
5,O-Na 
5,O-Al 
5,O-Si 
5,O-P 
5,N-Br 
5,C-Al 
5,C-Mg 
5,O=[As]-C:C:C 
5,Li-P 
5,Li-S 
5,Li-Cl 
5,B-H 
5,B-B 
5,B-C 
5,B-N 
5,B-O 
5,B-F 
5,B-Si 
5,B-P 
5,B-S 
5,B-Cl 
5,B-Br 
5,C-Na 
5,O-K 
5,F-P 
5,F-S 
5,Al-H 
5,N=P 
5,P=O 
5,P=P 
5,C(-C)(-Cl)(=O) 
5,Cl-C-C=O 
5,ClC1C(Br)CCC1 
5,C(-Cl)(=O) 
5,P(-O)(=O) 
5,S(-O)(=O) 
5,N:C-S-[#1] 
5,O=S-C-N 
5,S-S-C:C 
5,S-C-S-C 
5,[#1]-N-N-[#1] 
5,C-[As]-O-[#1] 
5,Si(~C)(~C) 
5,Li-F 
5,S(~C)(~H) 
5,P(~C)(~C) 
5,Al-Cl 
5,Si-H
5,Si-Si 
5,Si-Cl 
5,P-H 
5,P-P 
5,As-H 
5,As-As
5,C(~Br)(~H) 
5,C(~C)(~H)(~P) 
5,C(~C)(~Si) 
5,C(~Cl)(~Cl)
5,C(~H)(~Si) 
5,O(~C)(~P) 
5,O(~H)(~S) 
5,P(~O)(~O) 
5,Li-O 
5,Li-C 
5,Li-B 
5,>= 3 unsaturated non-aromatic carbon-only ring size 6 
5,>= 3 unsaturated non-aromatic nitrogen-containing ring size 6 
5,>= 3 unsaturated non-aromatic heteroatom-containing ring size 6 
5,>= 4 unsaturated non-aromatic carbon-only ring size 6 
5,>= 4 unsaturated non-aromatic nitrogen-containing ring size 6 
5,>= 4 unsaturated non-aromatic heteroatom-containing ring size 6 
5,>= 5 saturated or aromatic carbon-only ring size 6 
5,>= 5 saturated or aromatic nitrogen-containing ring size 6 
5,>= 5 saturated or aromatic heteroatom-containing ring size 6 
5,>= 5 unsaturated non-aromatic carbon-only ring size 6 
5,>= 5 unsaturated non-aromatic nitrogen-containing ring size 6 
5,>= 5 unsaturated non-aromatic heteroatom-containing ring size 6 
5,>= 1 unsaturated non-aromatic carbon-only ring size 7 
5,>= 1 unsaturated non-aromatic nitrogen-containing ring size 7 
5,>= 1 unsaturated non-aromatic heteroatom-containing ring size 7 
5,>= 2 unsaturated non-aromatic heteroatom-containing ring size 6 
5,>= 2 any ring size 7 
5,>= 2 unsaturated non-aromatic nitrogen-containing ring size 6 
5,>= 5 unsaturated non-aromatic nitrogen-containing ring size 5 
5,>= 3 unsaturated non-aromatic heteroatom-containing ring size 5 
5,Sc1ccc(S)cc1 
5,Oc1ccc(Br)cc1 
5,>= 4 any ring size 5 
5,>= 4 saturated or aromatic carbon-only ring size 5 
5,>= 4 saturated or aromatic nitrogen-containing ring size 5 
5,>= 4 saturated or aromatic heteroatom-containing ring size 5 
5,>= 4 unsaturated non-aromatic carbon-only ring size 5 
5,>= 4 unsaturated non-aromatic nitrogen-containing ring size 5 
5,>= 4 unsaturated non-aromatic heteroatom-containing ring size 5 
5,>= 5 any ring size 5 
5,>= 5 saturated or aromatic carbon-only ring size 5 
5,>= 5 saturated or aromatic nitrogen-containing ring size 5 
5,>= 5 saturated or aromatic heteroatom-containing ring size 5 
5,>= 5 unsaturated non-aromatic carbon-only ring size 5 
5,>= 5 unsaturated non-aromatic heteroatom-containing ring size 5 
5,Sc1ccc(Br)cc1 
5,>= 2 saturated or aromatic carbon-only ring size 7 
5,>= 2 saturated or aromatic heteroatom-containing ring size 7 
5,>= 1 saturated or aromatic nitrogen-containing ring size 9 
5,>= 1 saturated or aromatic heteroatom-containing ring size 9 
5,>= 1 unsaturated non-aromatic carbon-only ring size 9 
5,>= 1 unsaturated non-aromatic nitrogen-containing ring size 9 
5,>= 1 unsaturated non-aromatic heteroatom-containing ring size 9 
5,>= 1 any ring size 10 
5,>= 1 saturated or aromatic carbon-only ring size 10 
5,>= 1 saturated or aromatic nitrogen-containing ring size 10 
5,>= 1 saturated or aromatic heteroatom-containing ring size 10 
5,>= 1 unsaturated non-aromatic carbon-only ring size 10 
5,>= 1 unsaturated non-aromatic nitrogen-containing ring size 10 
5,>= 1 unsaturated non-aromatic heteroatom-containing ring size 10 
5,Li-H 
5,Li-Li 
5,O=N-C:C-O 
5,>= 1 saturated or aromatic carbon-only ring size 9 
5,>= 2 saturated or aromatic nitrogen-containing ring size 7 
5,>= 1 any ring size 9 
5,>= 2 unsaturated non-aromatic nitrogen-containing ring size 8 
5,>= 2 unsaturated non-aromatic carbon-only ring size 7 
5,>= 2 unsaturated non-aromatic nitrogen-containing ring size 7 
5,>= 2 unsaturated non-aromatic heteroatom-containing ring size 7 
5,>= 1 any ring size 8 
5,>= 1 saturated or aromatic carbon-only ring size 8 
5,>= 1 saturated or aromatic nitrogen-containing ring size 8 
5,>= 1 saturated or aromatic heteroatom-containing ring size 8 
5,>= 1 unsaturated non-aromatic carbon-only ring size 8 
5,>= 1 unsaturated non-aromatic nitrogen-containing ring size 8 
5,>= 1 unsaturated non-aromatic heteroatom-containing ring size 8 
5,>= 2 any ring size 8 
5,>= 2 saturated or aromatic carbon-only ring size 8 
5,>= 2 saturated or aromatic nitrogen-containing ring size 8 
5,>= 2 saturated or aromatic heteroatom-containing ring size 8 
5,>= 2 unsaturated non-aromatic carbon-only ring size 8 
5,>= 2 unsaturated non-aromatic heteroatom-containing ring size 8 
5,BrC1C(Br)CCC1
